,Datetime_UTC,M5,M15,M25,M35,M45,M55,M65,M75,M85,T5,T15,T25,T35,T45,T55,T65,T75,T85,S5,S15,S25,S35,S45,S55,S65,S75,S85,Radio,Sensor,Field,total,pct
0,4/26/2018 18:00:00,7.7565,6.4015699999999995,12.83423,11.14863,7.6457,8.24859,8.94947,9.05893,11.63373,26.580379999999998,23.62323,22.23141,21.87351,21.60033,21.89602,21.71579,21.597520000000003,21.86958,1156.81702,1281.38501,909.42511,891.89941,1058.19995,1071.43298,1127.19104,1248.9000199999998,1178.21301,ASR-8103,B3I3N2,N,38.14093,9.5352325
1,4/26/2018 15:30:00,5.288819999999999,12.29612,10.078669999999999,8.87529,7.099239999999999,8.98042,5.8779,9.70266,7.572839999999999,21.92853,20.48331,20.70338,21.61003,21.808120000000002,21.45871,22.20156,21.908089999999998,21.61028,1291.30103,897.94531,1003.15399,938.48199,1017.7379800000001,918.6624099999999,1028.1190199999999,830.05377,961.8222,ASR-8106,B2I3N5,N,36.5389,9.134725
2,4/26/2018 16:00:00,7.09317,8.89135,11.46647,9.95853,8.503810000000001,8.53925,8.83492,6.990410000000001,7.75855,23.6207,21.04338,19.85775,20.32331,20.96562,21.03225,21.62279,20.99621,21.345110000000002,1054.4370099999999,992.0772099999999,885.46692,1064.85205,1047.92004,1010.8579699999999,1005.52802,1075.4470199999998,1040.26294,ASR-8107,B2I2N2,S,37.40952,9.35238
3,4/26/2018 19:00:00,6.1807300000000005,12.00346,13.164639999999999,11.12531,9.31684,8.39531,10.99901,8.60978,7.75794,27.886,24.454539999999998,22.91532,21.70092,21.708679999999998,21.78775,21.51523,21.57335,21.07116,1217.77795,1034.38794,971.8338,839.7478,953.29932,1013.5739699999999,953.8286699999999,1092.73499,1152.72998,ASR-8108,B3I3N1,N,42.47414,10.618535
4,4/26/2018 16:00:00,11.25919,11.924000000000001,11.05809,11.00858,7.475460000000001,8.47555,8.77332,5.74137,7.1082600000000005,22.09585,20.60536,20.5986,20.4543,20.61769,20.968020000000003,21.9004,21.57583,21.56916,945.32068,886.2235699999999,938.6178,951.4104,1076.87695,1032.63306,890.4210800000001,1000.992,1083.3809800000001,ASR-8110,B4I1N2,N,45.249860000000005,11.312465000000001
5,4/26/2018 15:30:00,8.98775,10.64706,13.6956,13.45101,8.115839999999999,8.87985,9.12678,8.16445,7.40433,23.41734,21.15514,20.85303,21.83452,22.31024,22.0641,22.3136,22.05151,21.59256,1055.21802,976.4483,1141.95996,1037.97595,1030.4279800000002,945.5626199999999,969.3353300000001,1089.03296,1148.07996,ASR-8111,B4I3N3,N,46.78142,11.695355
6,4/26/2018 19:00:00,7.5491600000000005,6.9352,11.54602,11.69755,18.639039999999998,10.720469999999999,7.5281,7.6617,7.87993,28.03797,24.987289999999998,23.3044,22.00504,22.133129999999998,21.874660000000002,21.88411,21.81302,21.86779,1057.50098,1080.28296,1080.45898,1260.0770300000001,1230.06396,1206.77405,1549.54602,1536.01294,1257.73499,ASR-8112,B2I3N2,N,37.72793,9.4319825
7,4/26/2018 17:30:00,10.14466,16.10349,13.34349,10.57339,9.292110000000001,14.3744,8.362739999999999,7.93677,5.54845,25.40425,21.99271,20.88618,21.55269,21.553,21.920479999999998,21.34117,21.88779,21.462139999999998,1044.19397,960.5645099999999,954.8126199999999,946.3886699999999,977.52991,844.68121,1096.72803,1262.49597,1567.64905,ASR-8113,B2I1N1,N,50.16503,12.5412575
8,4/26/2018 19:00:00,11.209439999999999,11.8238,12.86759,9.66584,7.776110000000001,8.099969999999999,4.49561,6.653160000000001,7.52994,24.94977,23.09787,21.99915,20.35089,20.72309,20.8537,21.036839999999998,21.0728,20.69353,978.48059,926.9743,1052.82397,1114.79504,1072.83203,929.9381699999999,1159.78503,1229.03296,1322.54199,ASR-8114,B2I1N2,N,45.56667,11.3916675
9,4/26/2018 18:00:00,6.741289999999999,9.60032,11.80526,8.64456,7.6898100000000005,7.1698,7.33825,4.555219999999999,5.6329199999999995,26.37647,23.245260000000002,22.18747,21.25388,21.560679999999998,21.1665,21.27261,21.4293,21.36511,1177.46399,1009.81,953.6088300000001,992.51361,953.8798199999999,967.83771,943.6215199999999,1047.58301,1076.30798,ASR-8115,B4I3N2,N,36.79143,9.1978575
10,4/26/2018 16:00:00,6.2333300000000005,10.32934,12.628680000000001,10.41025,10.27853,10.027660000000001,7.30475,6.91697,7.144419999999999,23.42756,21.82515,21.40479,21.92077,21.60345,22.14361,22.28622,21.6715,21.27081,1109.11096,918.1989699999999,1048.0479699999999,1061.62805,1101.60095,1045.01404,1185.354,1152.59302,1117.10095,ASR-8117,B3I3N3,N,39.6016,9.9004
11,4/26/2018 15:30:00,8.82179,12.52543,10.90832,11.96218,7.9652,9.077960000000001,8.461910000000001,7.463489999999999,7.061,21.496979999999997,20.04534,20.207060000000002,20.3663,20.69831,21.10785,21.24146,21.69418,20.843729999999997,970.2647699999999,846.28589,913.25818,948.10962,1027.59399,1086.40295,1219.0,1239.57898,1188.14795,ASR-8118,B3I2N2,N,44.21772,11.05443
12,4/26/2018 18:00:00,12.81025,12.94815,14.685139999999999,10.93207,10.98572,8.355360000000001,11.57886,9.82959,9.15634,25.433529999999998,22.63479,21.533839999999998,20.82648,20.72121,21.36727,21.36883,21.52826,21.43554,925.0177,948.0786099999999,954.8205,1119.47205,1160.00305,1320.71594,994.2990699999999,1254.5389400000001,1250.17102,ASR-8119,B2I1N3,N,51.375609999999995,12.843902499999999
13,4/26/2018 15:30:00,9.07273,10.33615,7.50968,7.95363,7.41507,7.69503,7.64765,6.1685099999999995,10.06529,22.15754,20.496370000000002,21.13812,21.02423,21.2502,21.74841,22.040770000000002,21.46347,21.56595,943.7636699999999,890.34589,947.8078,969.16589,928.9951199999999,943.87408,881.32971,950.4176,796.78131,ASR-8120,B4I3N3,S,34.87219,8.7180475
14,4/26/2018 19:00:00,6.15126,9.66725,9.216460000000001,11.65007,6.85163,5.80826,4.04258,4.20268,5.6165199999999995,27.9951,25.10481,22.95225,21.86593,22.12187,22.17802,22.07581,21.51805,21.69914,1059.78198,956.7783199999999,957.6859699999999,819.52161,1021.4390300000001,982.9959699999999,896.6969,985.9160199999999,987.63672,ASR-8124,B3I5N2,S,36.68504,9.17126
15,4/26/2018 15:00:00,8.55226,11.797789999999999,12.59407,14.7888,8.6075,7.556310000000001,4.583419999999999,6.050669999999999,8.169889999999999,21.23394,19.62678,20.18546,20.87283,20.90719,21.14495,22.05157,22.25468,21.63689,1057.87903,961.7952300000001,891.37598,862.9906,937.91083,914.1525300000001,845.86951,955.5526699999999,861.74738,ASR-8125,B2I3N2,S,47.73292,11.93323
16,4/26/2018 17:30:00,9.38187,9.691510000000001,12.789589999999999,9.48685,7.717289999999999,9.35807,8.58638,7.718439999999999,7.540769999999999,24.051920000000003,21.229229999999998,21.12653,20.89794,21.39488,21.41485,21.1825,21.099439999999998,21.45792,1089.2120400000001,1005.88599,1059.14905,1116.8449699999999,1206.31104,1230.01794,1316.51697,1324.1340300000002,1287.67603,ASR-8127,B3I1N2,N,41.349819999999994,10.337454999999999
17,4/26/2018 15:30:00,7.75817,6.42966,7.66908,7.6573899999999995,7.655710000000001,6.88428,6.25174,6.5404,7.78954,21.99687,20.413510000000002,20.4783,21.090320000000002,21.74856,21.49776,21.328129999999998,21.054170000000003,21.43074,965.55469,1044.44299,1020.09198,914.05341,878.38129,969.8573,983.62689,1078.62195,1194.62097,ASR-8129,B3I3N2,S,29.5143,7.378575
18,4/26/2018 18:30:00,6.8082899999999995,13.66726,7.01174,7.2251,4.403519999999999,5.0395,3.4523900000000003,4.50512,6.18812,26.38193,23.22703,22.1646,21.732310000000002,21.59595,22.507279999999998,21.34851,21.36509,21.65094,,,,,,,,,,ASR-8130,B3I3N3,S,34.71239,8.6780975
19,4/26/2018 16:00:00,4.83096,8.71862,10.39979,7.40136,6.35382,5.42992,3.3816900000000003,3.26796,4.86399,21.77928,20.2112,20.30629,20.8802,20.89694,21.20833,20.96731,20.873160000000002,20.981379999999998,1054.65796,1012.3679800000001,932.26501,916.5051300000001,991.45563,969.35681,848.92401,840.47418,888.92889,ASR-8133,B4I2N2,S,31.35073,7.8376825
20,4/26/2018 17:00:00,8.70313,8.9844,10.330639999999999,9.89628,6.62484,6.43467,5.53711,6.41228,6.81915,23.95404,21.81733,20.61874,21.12728,21.500410000000002,21.893279999999997,21.56816,21.28706,21.67941,1021.73199,1106.7020300000001,1147.15906,978.1547199999999,1036.80005,949.4951199999999,978.89392,906.95288,926.7800300000001,ASR-8134,B4I1N2,S,37.91445,9.4786125
21,4/26/2018 18:00:00,11.304839999999999,15.62934,10.295,10.37635,10.3181,9.998610000000001,9.55516,8.08885,8.77859,24.59381,21.8898,21.24492,20.866979999999998,21.34319,21.63748,21.298370000000002,21.39284,21.33193,1064.46802,905.0360099999999,990.4412199999999,1025.13501,945.2235699999999,1097.72998,1321.20703,1284.00806,1066.92603,ASR-8135,B4I1N3,N,47.60553,11.9013825
22,4/26/2018 17:00:00,6.623189999999999,11.91803,10.17932,10.50671,8.090010000000001,8.30509,6.1801699999999995,6.7039800000000005,7.27371,26.733659999999997,23.03029,22.49703,22.59015,22.383010000000002,22.75516,21.99929,21.85083,21.59816,1072.44897,872.0999099999999,998.237,909.43488,934.9135699999999,919.34113,1024.49304,1090.61694,1038.86694,ASR-8137,B4I3N1,N,39.22725,9.8068125
23,4/26/2018 18:30:00,10.9502,11.00757,12.25235,12.78081,14.031270000000001,10.466389999999999,9.77294,7.623589999999999,7.69729,25.15995,22.560579999999998,20.97557,20.359270000000002,20.27344,21.10383,21.28644,21.38443,21.57072,962.5786699999999,933.1405,954.36688,1009.3049900000001,869.14911,945.3814699999999,961.40521,970.9799199999999,1065.33801,ASR-8138,B3I1N3,N,46.990930000000006,11.747732500000001
24,4/26/2018 19:00:00,5.40562,5.62559,8.14948,12.29654,7.5311699999999995,7.77963,5.92526,4.79285,4.6305,26.98384,24.22743,22.12745,22.7362,22.18906,22.01841,22.44634,21.95076,21.53102,1355.25,1272.30103,1077.79102,867.13361,986.4155900000001,975.2456099999999,990.24011,908.0001800000001,962.6702300000001,ASR-8140,B2I5N2,N,31.47723,7.8693075
25,4/26/2018 17:00:00,6.68595,8.972560000000001,8.75325,8.4058,7.9903,5.5483199999999995,5.35901,5.75582,6.52016,25.39041,22.04446,20.8043,21.25388,20.99125,21.57348,21.2079,21.36427,21.24813,1054.35303,972.2401699999999,1053.78699,1051.26599,1084.07495,1104.12305,1129.48901,1329.07996,1153.10095,ASR-8141,B2I1N1,S,32.81756,8.20439
26,4/26/2018 18:00:00,8.63711,9.10725,10.45252,8.58915,6.48174,7.39929,5.70031,6.48661,7.89515,24.767889999999998,22.94637,21.48883,20.673379999999998,21.46414,21.103070000000002,21.58165,21.49696,21.46876,1093.99194,1023.81201,1010.6469699999999,1128.16199,1246.87903,1154.47205,1466.04602,1214.4279800000002,1273.1879900000001,ASR-8144,B3I1N1,N,36.78603,9.1965075
27,4/26/2018 17:00:00,4.8885,6.7369699999999995,14.08559,9.910960000000001,7.95823,8.3361,7.14694,6.140630000000001,8.01102,27.414609999999996,23.271639999999998,21.794629999999998,22.07616,21.85379,21.87179,21.5638,21.47992,21.46181,1229.85901,1034.776,880.40131,866.7960800000001,889.1782800000001,843.5537099999999,886.93671,903.8272099999999,921.8726199999999,ASR-8146,B2I5N2,S,35.62202,8.905505
28,4/26/2018 15:30:00,8.191,9.64178,11.08877,10.19693,9.92137,11.17608,9.878910000000001,6.50119,8.79243,22.103460000000002,20.6934,21.340670000000003,22.22045,22.251620000000003,22.08575,21.69933,21.68897,21.49837,1041.61096,949.5219699999999,1083.98999,1257.5479699999999,1115.51501,994.6975699999999,990.51538,1132.229,1022.6569800000001,ASR-8147,B2I3N1,N,39.11848,9.77962
29,4/26/2018 17:00:00,7.5342,12.062560000000001,11.24368,8.31219,8.58415,10.21439,9.910110000000001,10.28423,13.08489,27.05762,23.61311,22.43422,22.15605,22.139120000000002,22.45952,21.40046,21.55059,21.04336,1144.48499,1010.62,987.40887,1130.73999,1111.89197,1218.41797,1295.27905,1290.073,1282.74902,ASR-8148,B4I5N2,N,39.15263,9.7881575
30,4/26/2018 19:00:00,8.22338,10.59051,8.101389999999999,8.051260000000001,6.05235,7.219060000000001,7.406789999999999,4.48189,5.0871,24.20518,22.69985,21.61148,21.325039999999998,21.17996,21.3082,21.41242,21.26547,21.0768,1095.67395,945.2778900000001,1047.45605,1072.19897,1025.61694,1007.1370199999999,941.74359,961.2288800000001,885.74957,ASR-8149,B4I1N3,S,34.96654,8.741635
31,4/26/2018 18:00:00,8.955680000000001,12.188369999999999,13.145970000000002,10.80617,9.20778,7.8742600000000005,10.50255,8.185080000000001,8.11815,25.245620000000002,21.96046,20.74205,20.66761,21.08474,21.063779999999998,21.1041,21.36796,21.41565,997.1646099999999,983.2836300000001,944.0355199999999,957.48651,957.82562,1011.7869900000001,963.8621199999999,1119.24695,1113.9129599999999,ASR-8151,B2I2N2,N,45.09619,11.2740475
32,4/26/2018 15:00:00,6.46795,7.793069999999999,4.5756,7.07343,7.80841,7.052980000000001,5.10504,5.68294,8.19083,21.28959,19.55529,20.31297,21.50704,21.634220000000003,21.9586,21.8523,21.808239999999998,22.226229999999997,1016.26501,958.7879,1245.55603,1035.64001,932.2293099999999,933.8801900000001,1113.51099,1274.79297,1288.97302,ASR-8152,B4I3N5,S,25.91005,6.477512499999999
